,layers.8.conv1,layers.8.conv0,layers.7.conv1,layers.7.conv0,layers.6.conv1,layers.6.conv0,layers.5.conv1,layers.5.conv0,layers.4.conv1,layers.4.conv0,layers.3.conv1,layers.3.conv0,layers.2.conv1,layers.2.conv0,layers.1.conv1,layers.1.conv0,layers.0.conv1,layers.0.conv0
num_q_codes,36864.0,36864.0,36864.0,36864.0,36864.0,18432.0,9216.0,9216.0,9216.0,9216.0,9216.0,4608.0,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0
num_in_range,33695.4,33059.7,33698.55,33001.85,33800.25,16334.25,8320.5,8099.65,8399.7,8122.35,8324.45,3986.45,2075.25,2007.05,2071.0,1990.9,2095.4,1992.75
num_out_of_range,3168.6,3804.3,3165.45,3862.15,3063.75,2097.75,895.5,1116.35,816.3,1093.65,891.55,621.55,228.75,296.95,233.0,313.1,208.6,311.25
num_cont_representable,32488.5,31914.25,32472.45,31864.35,32564.1,15773.7,8027.9,7829.05,8099.25,7850.2,8032.8,3853.8,2002.85,1941.0,1999.4,1926.4,2020.5,1927.75
num_remaining,1206.9,1145.45,1226.1,1137.5,1236.15,560.55,292.6,270.6,300.45,272.15,291.65,132.65,72.4,66.05,71.6,64.5,74.9,65.0
range_time,0.0040980219841003414,0.004444801807403564,0.004305911064147949,0.004048097133636475,0.004059004783630371,0.002097785472869873,0.0010114550590515138,0.0010198116302490234,0.0010074377059936523,0.0010781168937683105,0.0015448927879333496,0.000712132453918457,0.00037137269973754885,0.00036576986312866213,0.0003753781318664551,0.0004003405570983887,0.0004611015319824219,0.00037368535995483396
cont_time,0.0033215045928955077,0.003341937065124512,0.003530585765838623,0.0033333420753479002,0.0033856630325317383,0.00173720121383667,0.0009232521057128906,0.0009234786033630371,0.0010301828384399413,0.001121222972869873,0.0016181111335754395,0.0006324410438537598,0.000322425365447998,0.00028400421142578126,0.00034929513931274413,0.0002804875373840332,0.0003027200698852539,0.00027606487274169924
sparsity_time,1.2801091074943542,1.2391098976135253,1.2460564017295837,1.2520109295845032,1.2857772588729859,1.1765517592430115,1.2454450130462646,1.2366451859474181,1.2564897060394287,1.2614108443260192,1.2398290276527404,1.211649739742279,1.194062054157257,1.1479291677474976,1.141874575614929,1.117216944694519,1.1265009880065917,1.1252680897712708
cvm_time,2.221816098690033,2.230716788768768,2.11637659072876,2.1430520534515383,2.261977028846741,2.0809661149978638,1.9957524180412292,1.9723050117492675,1.998783254623413,1.9624041795730591,2.001384937763214,1.9846534609794617,1.9213878989219666,1.9970112085342406,1.949437642097473,1.9096246123313905,1.9663890957832337,1.9823887825012207
total_time,3.509344732761383,3.477613425254822,3.3702694892883303,3.4024444222450256,3.5551989555358885,3.2613528609275817,3.243132138252258,3.210893487930298,3.2573105812072756,3.2260143637657164,3.2443769693374636,3.197647774219513,3.116143751144409,3.1455901503562926,3.0920368909835814,3.027522385120392,3.093653905391693,3.108306622505188
num_fawdable,33012.1,32433.95,33027.3,32382.15,33133.35,16040.1,8158.2,7952.25,8236.35,7972.25,8169.25,3922.4,2035.4,1970.6,2031.75,1956.2,2057.65,1957.9
num_cvm,3851.9,4430.05,3836.7,4481.85,3730.65,2391.9,1057.8,1263.75,979.65,1243.75,1046.75,685.6,268.6,333.4,272.25,347.8,246.35,346.1
num_cvm_in_remaining,683.3,625.75,671.25,619.7,666.9,294.15,162.3,147.4,163.35,150.1,155.2,64.05,39.85,36.45,39.25,34.7,37.75,34.85
num_fawd_in_remaining,523.6,519.7,554.85,517.8,569.25,266.4,130.3,123.2,137.1,122.05,136.45,68.6,32.55,29.6,32.35,29.8,37.15,30.15
perc_fawdable,0.8955105251736108,0.8798272026909721,0.8959228515625,0.8784220377604166,0.8987996419270834,0.8702311197916668,0.8852213541666666,0.8628743489583334,0.893701171875,0.8650444878472223,0.8864203559027777,0.8512152777777777,0.8834201388888887,0.855295138888889,0.8818359375,0.8490451388888888,0.8930772569444445,0.8497829861111109
perc_cvm,0.10448947482638889,0.12017279730902777,0.1040771484375,0.12157796223958335,0.10120035807291668,0.12976888020833333,0.11477864583333333,0.13712565104166666,0.10629882812500002,0.1349555121527778,0.11357964409722221,0.14878472222222222,0.1165798611111111,0.14470486111111108,0.1181640625,0.1509548611111111,0.10692274305555556,0.1502170138888889
err_out_of_range,235085.55,303347.55,239070.6,310107.2,236113.7,170357.3,72122.65,91346.5,64206.1,90444.1,71756.35,51198.85,18515.75,24670.45,19029.6,26625.05,16541.4,25693.5
err_reduced_precision,2810.2,2493.1,2720.7,2428.85,2687.95,1131.25,641.3,589.4,669.35,590.65,599.9,235.85,158.85,140.1,152.6,134.95,144.1,140.2
err_total,237895.75,305840.65,241791.3,312536.05,238801.65,171488.55,72763.95,91935.9,64875.45,91034.75,72356.25,51434.7,18674.6,24810.55,19182.2,26760.0,16685.5,25833.7
quant_err,0.060150146484375,0.0347900390625,0.05206298828125,0.034576416015625,0.046142578125,0.0350341796875,0.04998779296875,0.030487060546875,0.049468994140625,0.03033447265625,0.04864501953125,0.034637451171875,0.04669189453125,0.031494140625,0.047760009765625,0.030120849609375,0.04766845703125,0.03125
fault_err,0.0625762939453125,0.0367523193359375,0.05418853759765625,0.03658294677734375,0.04796295166015625,0.037384033203125,0.052630615234375,0.03284149169921875,0.0516876220703125,0.03263092041015625,0.05117645263671875,0.037713623046875,0.04919281005859375,0.0342620849609375,0.05045623779296875,0.03306121826171875,0.04986724853515625,0.03413543701171875
